lat,lng,,,,,Lat2,Lng2
35.6897,139.6922,,,,,66.3221,-179.1837
-6.175,106.8275,,,,,7.3483,-62.5395
28.61,77.23,,,,,-23.43,-58.86
23.13,113.26,,,,,-1.5667,9.25
19.0761,72.8775,,,,,-1.7496,37.12
14.5958,120.9772,,,,,61.95,159.2333
31.1667,121.4667,,,,,24.6333,-107.9167
-23.55,-46.6333,,,,,-9.6954,-65.3597
37.56,126.99,,,,,40.6171,125.4501
19.4333,-99.1333,,,,,63.0655,179.3067
30.0444,31.2358,,,,,8.6,33.0667
40.6943,-73.9249,,,,,-19.92,-60.79
23.7639,90.3889,,,,,-7.4329,30.6
39.904,116.4075,,,,,52.6636,156.2387
22.5675,88.37,,,,,70.0171,135.6
13.7525,100.4942,,,,,60.8,135.1833
22.535,114.054,,,,,-14.5495,30.81
55.7558,37.6178,,,,,11.773,-15.195
-34.5997,-58.3819,,,,,-0.7431,26.5833
6.455,3.3841,,,,,-24.7257,34.766
41.0136,28.955,,,,,-13.6833,19.8667
24.86,67.01,,,,,-32.1879,-64.4803
12.9789,77.5917,,,,,-26.02,-54.77
10.7756,106.7019,,,,,40.9053,45.5564
34.6939,135.5022,,,,,-20.7406,-67.6606
30.66,104.0633,,,,,-0.757,28.528
35.6892,51.3889,,,,,39.4362,53.1226
-4.325,15.3222,,,,,-15.5333,-69.25
-22.9111,-43.2056,,,,,-23.6,-62.6
13.0825,80.275,,,,,16.9886,54.6922
34.2667,108.9,,,,,73.507,80.5451
31.5497,74.3436,,,,,56.3167,160.8333
29.55,106.5069,,,,,-20.52,-62.21
34.1141,-118.4068,,,,,30.15,10.45
38.8671,115.4845,,,,,-8.6996,28.7
51.5072,-0.1275,,,,,-5.4746,150.41
48.8567,2.3522,,,,,-17.6,-69.45
35.1041,118.3502,,,,,-18.2996,21.8
23.0475,113.7493,,,,,-6.5095,22.87
17.385,78.4867,,,,,60.3808,107.7794
39.1467,117.2056,,,,,12.617,-11.4066
-12.06,-77.0375,,,,,51.6324,69.8328
30.5872,114.2881,,,,,62.4908,165.3298
32.9987,112.5292,,,,,1.1164,9.4186
30.25,120.1675,,,,,-21.5378,32.9564
23.0292,113.1056,,,,,-24.0629,34.7303
35.1833,136.9,,,,,-48.4683,-72.56
25.0375,121.5625,,,,,74.5792,-57.2181
34.261,117.1859,,,,,-26.6161,144.2675
-8.8383,13.2344,,,,,-16.8921,34.6559
33.625,114.6418,,,,,-19.0147,-68.3708
25.8292,114.9336,,,,,3.7667,47.3
3.1478,101.6953,,,,,-19.85,-68.25
35.2333,115.4333,,,,,-11.3196,16.2
24.9139,118.5858,,,,,11.9667,50.75
41.8375,-87.6866,,,,,-8.9322,-74.7052
32.0608,118.7789,,,,,-17.3167,13.9167
35.4,116.5667,,,,,5.617,23.3167
21.0283,105.8542,,,,,-22.7167,-57.8333
18.5203,73.8567,,,,,26.3667,15.8
32.8986,115.8045,,,,,-31.1496,136.8
23.03,72.58,,,,,50.5306,116.3006
-26.2044,28.0456,,,,,-2.9828,38.4666
4.7111,-74.0722,,,,,71.4333,136.0666
-6.8161,39.2803,,,,,-23.1903,-68.005
41.8025,123.4281,,,,,73.3689,-56.0556
15.5006,32.56,,,,,44.935,74.018
34.4259,115.6467,,,,,-4.4565,30.2614
38.3037,116.8452,,,,,65.5753,-37.1833
22.3,114.2,,,,,27.517,15.0333
27.2418,111.4725,,,,,68.7831,49.3036
21.1967,110.4031,,,,,68.5166,107.8
33.3936,120.1339,,,,,-2.8379,-77.9357
26.8968,112.5857,,,,,69.7631,61.6678
24.6333,46.7167,,,,,72.3797,-55.55
32.9773,114.0253,,,,,-10.0426,148.565
-33.4372,-70.6506,,,,,-25.0219,44.0749
37.0659,114.4753,,,,,-5.5808,16.5143
22.335,91.8325,,,,,74.1111,-57.0611
27.3019,105.2863,,,,,10.5667,51.1333
28.4419,117.9633,,,,,4.217,108.2
27.705,106.9336,,,,,61.1458,-45.4347
21.1702,72.8311,,,,,1.0103,27.1617
-7.2458,112.7378,,,,,12.5697,99.9443
30.45,114.875,,,,,-0.3333,10.3833
21.6618,110.9178,,,,,59.96,164.2
30.7991,106.0784,,,,,76.0194,-65.1139
32.1264,114.0672,,,,,-19.1597,-70.1794
40.4169,-3.7033,,,,,70.8814,78.4661
33.3153,44.3661,,,,,-0.1166,-75.23
25.5102,103.8029,,,,,-22.3169,-68.9301
23.5533,116.3649,,,,,-12.52,-68.6186
1.3,103.8,,,,,68.4652,102.1887
25.4358,81.8464,,,,,26.5482,-13.8482
36.45,115.9833,,,,,66.4171,173.3333
38.9,121.6,,,,,71.6983,83.5642
22.6293,110.1507,,,,,-54.2806,-36.508
29.0397,111.6839,,,,,-13.683,-61.8666
36.1167,120.4,,,,,-0.9329,-75.4
4.05,9.7,,,,,62.967,65.0859
25.784,-80.2101,,,,,61.1012,80.2514
35.2992,113.8851,,,,,-20.9829,-69.6833
31.2231,121.5397,,,,,-2.9042,-76.4028
32.0654,112.1531,,,,,-2.3328,-71.9167
32.7935,-96.7667,,,,,28.5489,17.5511
29.786,-95.3885,,,,,23.946,35.4842
